¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2387"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
2409,913Y¸s¯qÀ]«e,71.90,0,2000,,2410,913Y¸s¯qÀ]«e,72.00,1000,0 
2411,913Y¸s¯qÀ]«e,72.20,1000,0,,2412,913Y¸s¯qÀ]«e,72.80,0,1000 
2413,913Y¸s¯qÀ]«e,73.00,1000,0,,2414,9183¸s¯q°ª¶¯,71.70,1000,0 
2415,9183¸s¯q°ª¶¯,71.80,0,1000,,2416,9183¸s¯q°ª¶¯,72.00,0,1000 
2417,9183¸s¯q°ª¶¯,72.70,0,1000,,2418,9184¸s¯q¥x¤¤,70.30,0,1000 
2419,9184¸s¯q¥x¤¤,71.50,0,1000,,2420,9184¸s¯q¥x¤¤,71.80,0,1000 
2421,9184¸s¯q¥x¤¤,72.00,1000,1000,,2422,9184¸s¯q¥x¤¤,72.80,1000,0 
2423,9186¸s¯q·s¦Ë,70.90,0,1000,,2424,9186¸s¯q·s¦Ë,71.40,0,4000 
2425,9186¸s¯q·s¦Ë,72.20,0,1000,,2426,9186¸s¯q·s¦Ë,72.70,5000,0 
2427,9187¸s¯q¹ü¤Æ,70.10,2000,0,,2428,9187¸s¯q¹ü¤Æ,71.10,2000,0 
2429,9187¸s¯q¹ü¤Æ,71.50,0,4000,,2430,9187¸s¯q¹ü¤Æ,72.00,4000,0 
2431,9187¸s¯q¹ü¤Æ,72.10,2000,0,,2432,9187¸s¯q¹ü¤Æ,72.20,3000,2000 
2433,9187¸s¯q¹ü¤Æ,72.70,1000,0,,2434,9187¸s¯q¹ü¤Æ,73.00,0,2000 
2435,9188¸s¯q¤T¥Á,71.50,0,1000,,2436,9188¸s¯q¤T¥Á,72.90,2000,0 
2437,9189¸s¯q®ç¶é,71.80,1000,0,,2438,9189¸s¯q®ç¶é,72.00,0,1000 
2439,918A¸s¯q¤¤Ãc,69.50,1000,0,,2440,918A¸s¯q¤¤Ãc,70.20,0,1000 
2441,918A¸s¯q¤¤Ãc,70.50,1000,0,,2442,918A¸s¯q¤¤Ãc,70.90,1000,0 
2443,918A¸s¯q¤¤Ãc,71.00,1000,0,,2444,918A¸s¯q¤¤Ãc,71.40,2000,0 
2445,918A¸s¯q¤¤Ãc,71.60,2000,0,,2446,918A¸s¯q¤¤Ãc,72.00,0,1000 
2447,918A¸s¯q¤¤Ãc,72.20,1000,1000,,2448,918A¸s¯q¤¤Ãc,72.30,0,1000 
2449,918B¸s¯qªO¾ô,69.50,3000,0,,2450,918B¸s¯qªO¾ô,70.40,0,1000 
2451,918B¸s¯qªO¾ô,70.50,0,3000,,2452,918B¸s¯qªO¾ô,72.00,1000,3000 
2453,918B¸s¯qªO¾ô,72.60,3000,0,,2454,918c¸s¯q»ñ¤s,69.80,0,1000 
2455,918c¸s¯q»ñ¤s,70.30,0,1000,,2456,918c¸s¯q»ñ¤s,70.70,1000,0 
2457,918c¸s¯q»ñ¤s,71.00,1000,0,,2458,918c¸s¯q»ñ¤s,71.10,0,1000 
2459,918c¸s¯q»ñ¤s,71.50,1000,0,,2460,918c¸s¯q»ñ¤s,71.60,1000,0 
2461,918c¸s¯q»ñ¤s,72.20,0,1000,,2462,918c¸s¯q»ñ¤s,72.40,1000,0 
2463,918c¸s¯q»ñ¤s,72.50,1000,0,,2464,918c¸s¯q»ñ¤s,72.60,1000,0 
2465,918c¸s¯q»ñ¤s,72.80,0,1000,,2466,918c¸s¯q»ñ¤s,72.90,0,3000 
2467,918C¸s¯q¥j«F,69.50,5000,0,,2468,918C¸s¯q¥j«F,71.70,0,2000 
2469,918C¸s¯q¥j«F,71.90,1000,0,,2470,918C¸s¯q¥j«F,72.00,1000,2000 
2471,918C¸s¯q¥j«F,72.20,1000,0,,2472,918C¸s¯q¥j«F,73.10,0,5000 
2473,918D¸s¯qªFªù,69.50,0,292,,2474,918e¸s¯q¤j¦w,71.90,12000,0 
2475,918e¸s¯q¤j¦w,72.10,1000,0,,2476,918E¸s¯q«n¨Ê,69.50,1000,0 
2477,918E¸s¯q«n¨Ê,70.00,0,4000,,2478,918E¸s¯q«n¨Ê,72.00,1000,1000 
2479,918E¸s¯q«n¨Ê,72.40,5000,2000,,2480,918E¸s¯q«n¨Ê,72.70,1000,0 
2481,918F¸s¯q·s©±,69.50,3000,5000,,2482,918F¸s¯q·s©±,69.80,1000,0 
2483,918F¸s¯q·s©±,69.90,5000,0,,2484,918F¸s¯q·s©±,70.30,1000,0 
2485,918F¸s¯q·s©±,70.60,3000,0,,2486,918F¸s¯q·s©±,72.00,3000,5000 
2487,918F¸s¯q·s©±,72.10,5000,0,,2488,918F¸s¯q·s©±,72.80,3000,3000 
2489,918g¸s¯q¤j¥Ò,70.20,10000,0,,2490,918g¸s¯q¤j¥Ò,70.30,0,1000 
2491,918g¸s¯q¤j¥Ò,71.00,0,3000,,2492,918g¸s¯q¤j¥Ò,72.00,0,3000 
2493,918g¸s¯q¤j¥Ò,72.10,1000,2000,,2494,918g¸s¯q¤j¥Ò,73.20,0,2000 
2495,918G¸s¯q·s²ø,69.50,0,2000,,2496,918G¸s¯q·s²ø,70.00,1000,0 
2497,918G¸s¯q·s²ø,70.30,0,2000,,2498,918G¸s¯q·s²ø,71.50,0,2000 
2499,918G¸s¯q·s²ø,71.60,0,1000,,2500,918G¸s¯q·s²ø,71.70,0,2000 
2501,918G¸s¯q·s²ø,72.20,6000,0,,2502,918G¸s¯q·s²ø,72.80,2000,0 
2503,918G¸s¯q·s²ø,72.90,5000,0,,2504,918G¸s¯q·s²ø,73.00,0,1000 
2505,918H¸s¯q¤¤¤s,70.20,0,2000,,2506,918H¸s¯q¤¤¤s,72.00,21000,0 
2507,918H¸s¯q¤¤¤s,72.10,1000,0,,2508,918H¸s¯q¤¤¤s,72.50,1000,0 
2509,918H¸s¯q¤¤¤s,72.70,1000,0,,2510,918H¸s¯q¤¤¤s,72.80,20000,1000 
2511,918i¸s¯q¦Ë«n,70.00,2000,0,,2512,918i¸s¯q¦Ë«n,70.70,1000,0 
2513,918i¸s¯q¦Ë«n,71.00,0,10000,,2514,918i¸s¯q¦Ë«n,72.10,10000,0 
2515,918i¸s¯q¦Ë«n,72.40,1000,0,,2516,918i¸s¯q¦Ë«n,73.00,4000,1000 
2517,918J¸s¯q¥Ã©M,70.10,3000,0,,2518,918J¸s¯q¥Ã©M,70.50,1000,0 
2519,918J¸s¯q¥Ã©M,71.50,0,1000,,2520,918J¸s¯q¥Ã©M,72.00,1000,0 
2521,918J¸s¯q¥Ã©M,72.90,0,1000,,2522,918K¸s¯qªF´ò,69.50,0,5000 
2523,918K¸s¯qªF´ò,69.80,0,1000,,2524,918K¸s¯qªF´ò,70.00,0,2000 
2525,918K¸s¯qªF´ò,70.30,2000,0,,2526,918K¸s¯qªF´ò,71.50,1000,0 
2527,918K¸s¯qªF´ò,71.70,1000,0,,2528,918K¸s¯qªF´ò,71.80,2000,0 
2529,918K¸s¯qªF´ò,71.90,0,2000,,2530,918K¸s¯qªF´ò,72.00,2000,0 
2531,918K¸s¯qªF´ò,72.10,5000,5000,,2532,918K¸s¯qªF´ò,72.20,0,5000 
2533,918K¸s¯qªF´ò,72.40,0,11000,,2534,918K¸s¯qªF´ò,72.50,2000,0 
2535,918K¸s¯qªF´ò,72.90,0,5000,,2536,918K¸s¯qªF´ò,73.20,5000,0 
2537,918L¸s¯q«Ø¦¨,70.20,3000,0,,2538,918L¸s¯q«Ø¦¨,70.30,3000,0 
2539,918L¸s¯q«Ø¦¨,71.40,0,1000,,2540,918L¸s¯q«Ø¦¨,71.50,1000,0 
2541,918L¸s¯q«Ø¦¨,72.20,1000,2000,,2542,918L¸s¯q«Ø¦¨,72.30,0,3000 
2543,918L¸s¯q«Ø¦¨,72.40,1000,0,,2544,918L¸s¯q«Ø¦¨,73.00,0,19000 
2545,918L¸s¯q«Ø¦¨,73.10,0,1000,,2546,918M¸s¯q¹Å¸q,69.90,0,1000 
2547,918M¸s¯q¹Å¸q,70.50,0,1000,,2548,918M¸s¯q¹Å¸q,72.00,1000,0 
2549,918M¸s¯q¹Å¸q,73.00,1000,0,,2550,918s¸s¯q¤¦»ñ,71.70,1000,0 
2551,918u¸s¯q·çÂ×,69.80,2000,0,,2552,918u¸s¯q·çÂ×,71.90,0,5000 
2553,918u¸s¯q·çÂ×,72.30,1000,0,,2554,918W¸s¯q©¾§µ,72.30,0,1000 
2555,918x¸s¯q©µ¥­,72.10,0,1000,,2556,918x¸s¯q©µ¥­,72.20,0,1000 
2557,918X¸s¯q¥x¥_,69.50,6000,0,,2558,918X¸s¯q¥x¥_,71.50,0,1000 
2559,918z¸s¯q©yÄõ,70.00,1000,0,,2560,918z¸s¯q©yÄõ,70.10,0,5000 
2561,918z¸s¯q©yÄõ,71.90,2000,0,,2562,918z¸s¯q©yÄõ,72.00,1000,0 
2563,918z¸s¯q©yÄõ,72.30,2000,0,,2564,9202³Í°ò¤¤´ä,69.50,0,7000 
2565,9202³Í°ò¤¤´ä,70.00,0,1000,,2566,9202³Í°ò¤¤´ä,70.40,1000,0 
2567,9202³Í°ò¤¤´ä,70.80,1000,1000,,2568,9202³Í°ò¤¤´ä,71.00,3000,0 
2569,9202³Í°ò¤¤´ä,71.20,2000,0,,2570,9202³Í°ò¤¤´ä,71.70,1000,0 
2571,9202³Í°ò¤¤´ä,71.80,2000,1000,,2572,9202³Í°ò¤¤´ä,72.00,1000,0 
2573,9202³Í°ò¤¤´ä,72.10,1000,2000,,2574,9202³Í°ò¤¤´ä,72.20,1000,0 
2575,9202³Í°ò¤¤´ä,72.30,2000,0,,2576,9202³Í°ò¤¤´ä,72.40,1000,0 
2577,9202³Í°ò¤¤´ä,72.60,0,1000,,2578,9202³Í°ò¤¤´ä,72.70,4000,0 
2579,9202³Í°ò¤¤´ä,73.00,2000,1000,,2580,9204³Í°ò¥x¤¤,70.00,10000,0 
2581,9204³Í°ò¥x¤¤,70.40,0,1000,,2582,9204³Í°ò¥x¤¤,71.00,5000,0 
2583,9204³Í°ò¥x¤¤,71.40,0,2000,,2584,9204³Í°ò¥x¤¤,71.50,0,1000 
2585,9204³Í°ò¥x¤¤,72.60,1000,0,,2586,9204³Í°ò¥x¤¤,72.80,2000,0 
2587,9204³Í°ò¥x¤¤,72.90,2000,10000,,2588,9205³Í°ò¤T­«,70.10,1000,0 
2589,9205³Í°ò¤T­«,71.80,1000,0,,2590,9205³Í°ò¤T­«,72.40,0,1000 
2591,9205³Í°ò¤T­«,72.70,0,1000,,2592,9206³Í°ò°ª¶¯,70.90,1000,0 
2593,9206³Í°ò°ª¶¯,71.60,0,1000,,2594,9206³Í°ò°ª¶¯,72.00,0,1000 
2595,9206³Í°ò°ª¶¯,72.20,0,1000,,2596,9206³Í°ò°ª¶¯,72.30,1000,1000 
2597,9206³Í°ò°ª¶¯,72.40,1000,0,,2598,9206³Í°ò°ª¶¯,72.70,1000,0 
2599,9207³Í°ò¥Ã©M,70.20,20000,0,,2600,9207³Í°ò¥Ã©M,71.50,0,10000 
2601,9207³Í°ò¥Ã©M,72.20,100000,0,,2602,9207³Í°ò¥Ã©M,73.10,1000,0 
2603,9207³Í°ò¥Ã©M,73.20,0,2000,,2604,9208³Í°ò®ç¶é,69.50,2000,0 
2605,9208³Í°ò®ç¶é,69.90,0,1000,,2606,9208³Í°ò®ç¶é,70.10,1000,0 
2607,9208³Í°ò®ç¶é,70.30,1000,0,,2608,9208³Í°ò®ç¶é,71.60,1000,0 
2609,9208³Í°ò®ç¶é,71.80,0,1000,,2610,9208³Í°ò®ç¶é,72.00,2000,0 
2611,9208³Í°ò®ç¶é,72.20,1000,0,,2612,9209³Í°ò©£¤s,69.50,0,1000 
2613,9209³Í°ò©£¤s,70.30,0,1000,,2614,9209³Í°ò©£¤s,70.50,1000,0 
2615,9209³Í°ò©£¤s,71.70,1000,0,,2616,9209³Í°ò©£¤s,72.00,1000,2000 
2617,9209³Í°ò©£¤s,72.10,0,3000,,2618,9209³Í°ò©£¤s,72.20,0,3000 
2619,9209³Í°ò©£¤s,72.50,0,1000,,2620,9209³Í°ò©£¤s,73.00,4000,0 
2621,920A³Í°òªO¾ô,69.90,1000,0,,2622,920A³Í°òªO¾ô,70.10,1000,0 
2623,920A³Í°òªO¾ô,70.40,2000,0,,2624,920A³Í°òªO¾ô,71.00,0,1000 
2625,920A³Í°òªO¾ô,71.40,3000,0,,2626,920A³Í°òªO¾ô,71.50,1000,2000 
2627,920A³Í°òªO¾ô,71.60,1000,0,,2628,920A³Í°òªO¾ô,71.70,1000,0 
2629,920A³Í°òªO¾ô,71.80,1000,0,,2630,920A³Í°òªO¾ô,72.00,1000,0 
2631,920A³Í°òªO¾ô,72.40,0,1000,,2632,920A³Í°òªO¾ô,72.60,1000,1000 
2633,920A³Í°òªO¾ô,72.70,0,1000,,2634,920A³Í°òªO¾ô,72.80,0,1000 
2635,920A³Í°òªO¾ô,73.00,1000,1000,,2636,920C³Í°òÂù©M,69.50,1000,0 
2637,920C³Í°òÂù©M,70.30,0,2000,,2638,920C³Í°òÂù©M,70.60,1000,0 
2639,920C³Í°òÂù©M,71.00,0,1000,,2640,920C³Í°òÂù©M,72.00,2000,1000 
2641,920D³Í°ò¥«©²,69.90,2000,0,,2642,920D³Í°ò¥«©²,70.10,1000,0 
2643,920D³Í°ò¥«©²,71.60,1000,0,,2644,920D³Í°ò¥«©²,71.80,1000,0 
2645,920D³Í°ò¥«©²,72.00,1000,0,,2646,920D³Í°ò¥«©²,72.20,1000,1000 
2647,920E³Í°òªFªù,71.70,0,2000,,2648,920E³Í°òªFªù,72.70,2000,0 
2649,920E³Í°òªFªù,72.90,3000,0,,2650,920F³Í°ò¯¸«e,69.50,5000,0 
2651,920F³Í°ò¯¸«e,70.00,5000,0,,2652,920F³Í°ò¯¸«e,70.30,5000,0 
2653,920F³Í°ò¯¸«e,70.40,1000,0,,2654,920F³Í°ò¯¸«e,70.50,1000,0 
2655,920F³Í°ò¯¸«e,70.80,0,1000,,2656,920F³Í°ò¯¸«e,71.00,5000,0 
2657,920F³Í°ò¯¸«e,71.30,1000,0,,2658,920F³Í°ò¯¸«e,71.50,0,6000 
2659,920F³Í°ò¯¸«e,71.70,0,2000,,2660,920F³Í°ò¯¸«e,71.80,0,2000 
2661,920F³Í°ò¯¸«e,71.90,0,5000,,2662,920F³Í°ò¯¸«e,72.00,1000,0 
2663,920F³Í°ò¯¸«e,72.10,0,4000,,2664,920F³Í°ò¯¸«e,72.20,0,2000 
2665,920F³Í°ò¯¸«e,72.30,5000,0,,2666,920F³Í°ò¯¸«e,72.40,6000,0 
2667,920F³Í°ò¯¸«e,72.50,5000,0,,2668,920F³Í°ò¯¸«e,72.90,4000,1000 
2669,920F³Í°ò¯¸«e,73.00,0,11000,,2670,920G³Í°ò¹ü¤Æ,71.00,0,1000 
2671,920G³Í°ò¹ü¤Æ,71.50,2000,0,,2672,920G³Í°ò¹ü¤Æ,72.10,1000,1000 
2673,920G³Í°ò¹ü¤Æ,72.30,0,1000,,2674,920H³Í°ò°ò¶©,71.50,6000,0 
2675,920M³Í°ò©yÄõ,69.80,1000,0,,2676,920M³Í°ò©yÄõ,70.90,1000,0 
2677,920M³Í°ò©yÄõ,71.30,0,1000,,2678,920M³Í°ò©yÄõ,72.60,5000,0 
2679,920M³Í°ò©yÄõ,72.70,1000,0,,2680,920M³Í°ò©yÄõ,73.00,1000,0 
2681,920N³Í°ò´ò¤f,70.20,0,9000,,2682,920N³Í°ò´ò¤f,71.30,0,6000 
2683,920N³Í°ò´ò¤f,72.00,3000,0,,2684,920N³Í°ò´ò¤f,72.80,1000,0 
2685,920N³Í°ò´ò¤f,73.00,0,2000,,2686,920N³Í°ò´ò¤f,73.20,6000,0 
2687,920V³Í°ò·s©±,71.70,0,1000,,2688,920V³Í°ò·s©±,71.80,0,1000 
2689,920V³Í°ò·s©±,73.00,1000,0,,2690,920V³Í°ò·s©±,73.20,1000,0 
2691,920W³Í°ò¤j¨½,69.50,13000,0,,2692,920W³Í°ò¤j¨½,69.90,0,1000 
2693,920W³Í°ò¤j¨½,70.00,1000,0,,2694,920W³Í°ò¤j¨½,70.20,0,1000 
2695,920W³Í°ò¤j¨½,70.90,0,1000,,2696,920W³Í°ò¤j¨½,71.30,1000,0 
2697,920W³Í°ò¤j¨½,71.70,0,1000,,2698,920W³Í°ò¤j¨½,72.00,1000,13000 
2699,920W³Í°ò¤j¨½,72.10,1000,0,,2700,920W³Í°ò¤j¨½,72.90,1000,0 
2701,920Z³Í°ò¥xªF,69.80,0,15000,,2702,920Z³Í°ò¥xªF,69.90,0,5000 
2703,920Z³Í°ò¥xªF,70.00,3000,0,,2704,9211³Í°ò¥x«n,69.50,0,1000 
2705,9211³Í°ò¥x«n,69.70,2000,0,,2706,9211³Í°ò¥x«n,70.00,1000,0 
2707,9211³Í°ò¥x«n,70.30,0,1000,,2708,9211³Í°ò¥x«n,70.40,1000,0 
2709,9211³Í°ò¥x«n,70.50,3000,0,,2710,9211³Í°ò¥x«n,71.30,3000,1000 
2711,9211³Í°ò¥x«n,71.60,1000,0,,2712,9211³Í°ò¥x«n,71.70,1000,0 
2713,9211³Í°ò¥x«n,72.00,5000,0,,2714,9211³Í°ò¥x«n,72.20,1000,0 
2715,9211³Í°ò¥x«n,72.30,1000,0,,2716,9211³Í°ò¥x«n,72.40,0,1000 
2717,9212³Í°òªF´ä,69.50,3000,0,,2718,9212³Í°òªF´ä,72.50,0,3000 
2719,9215³Í°ò°ª¬ü,70.30,0,1000,,2720,9215³Í°ò°ª¬ü,71.40,1000,2000 
2721,9215³Í°ò°ª¬ü,71.50,1000,3000,,2722,9215³Í°ò°ª¬ü,71.60,1000,0 
2723,9215³Í°ò°ª¬ü,72.00,1000,1000,,2724,9215³Í°ò°ª¬ü,72.10,2000,0 
2725,9215³Í°ò°ª¬ü,72.20,2000,0,,2726,9215³Í°ò°ª¬ü,72.40,2000,0 
2727,9215³Í°ò°ª¬ü,72.50,1000,0,,2728,9215³Í°ò°ª¬ü,72.70,2000,0 
2729,9215³Í°ò°ª¬ü,72.90,3000,0,,2730,9216³Í°ò«H¸q,69.50,1000,1000 
2731,9216³Í°ò«H¸q,69.70,0,2000,,2732,9216³Í°ò«H¸q,70.00,1000,0 
2733,9216³Í°ò«H¸q,70.30,1000,0,,2734,9216³Í°ò«H¸q,71.00,1000,0 
2735,9216³Í°ò«H¸q,71.60,2000,0,,2736,9216³Í°ò«H¸q,71.80,0,1000 
2737,9216³Í°ò«H¸q,71.90,0,1000,,2738,9216³Í°ò«H¸q,72.00,1000,0 
2739,9216³Í°ò«H¸q,72.30,2000,0,,2740,9217³Í°òªQ¤s,70.00,1000,0 
2741,9217³Í°òªQ¤s,71.00,1000,0,,2742,9217³Í°òªQ¤s,71.60,1000,0 
2743,9217³Í°òªQ¤s,71.70,1000,0,,2744,9217³Í°òªQ¤s,71.80,2000,0 
2745,9217³Í°òªQ¤s,72.10,0,2000,,2746,9217³Í°òªQ¤s,72.40,0,1000 
2747,9217³Í°òªQ¤s,72.80,0,1000,,2748,9218³Í°ò¤jª½,70.20,0,7000 
2749,9218³Í°ò¤jª½,70.50,0,37000,,2750,9218³Í°ò¤jª½,71.50,0,5000 
2751,9218³Í°ò¤jª½,71.90,4000,0,,2752,9218³Í°ò¤jª½,72.00,10000,0 
2753,9218³Í°ò¤jª½,72.10,20000,0,,2754,9218³Í°ò¤jª½,72.20,10000,0 
2755,9218³Í°ò¤jª½,72.30,5000,0,,2756,9218³Í°ò¤jª½,72.90,1000,0 
2757,921C³Í°ò¥ÁÅv,71.90,2000,0,,2758,921C³Í°ò¥ÁÅv,72.00,0,2000 
2759,921C³Í°ò¥ÁÅv,72.60,0,2000,,2760,921F³Í°ò¤Ñ¥À,71.90,0,1000 
2761,921G³Í°ò¤­ªÑ,72.20,1000,0,,2762,921G³Í°ò¤­ªÑ,73.20,0,1000 
2763,921J³Í°ò¤g«°,70.10,0,5000,,2764,921J³Í°ò¤g«°,71.70,5000,0 
2765,921M³Í°ò¤K¼w,71.90,2000,0,,2766,921M³Í°ò¤K¼w,72.50,0,1000 
2767,921S³Í°ò©¯ºÖ,72.10,1000,0,,2768,921S³Í°ò©¯ºÖ,72.80,1000,0 
2769,921Y³Í°òªF¶Õ,70.20,1000,0,,2770,921Y³Í°òªF¶Õ,70.40,1000,0 
2771,921Y³Í°òªF¶Õ,71.40,1000,0,,2772,921Y³Í°òªF¶Õ,71.60,1000,0 
2773,921Y³Í°òªF¶Õ,72.00,0,1000,,2774,921Y³Í°òªF¶Õ,72.60,1000,0 
2775,9223³Í°òÂ×¤¤,70.40,1000,0,,2776,9223³Í°òÂ×¤¤,71.70,1000,1000 
2777,9223³Í°òÂ×¤¤,72.00,2000,1000,,2778,9223³Í°òÂ×¤¤,72.20,0,2000 
2779,9223³Í°òÂ×¤¤,72.40,1000,0,,2780,9223³Í°òÂ×¤¤,72.60,1000,3000 
2781,9224³Í°ò·s²ø,71.40,0,1000,,2782,9225³Í°ò¤º®H,71.50,0,1000 
2783,9225³Í°ò¤º®H,72.00,1000,0,,2784,9225³Í°ò¤º®H,72.10,0,1000 
2785,9225³Í°ò¤º®H,72.20,1000,0,,2786,9227³Í°ò«°¤¤,69.90,1000,0 
2787,9227³Í°ò«°¤¤,70.80,1000,0,,2788,9227³Í°ò«°¤¤,71.30,0,1000 
2789,9227³Í°ò«°¤¤,71.50,0,2000,,2790,9227³Í°ò«°¤¤,72.00,3000,0 
2791,9227³Í°ò«°¤¤,72.10,0,1000,,2792,9227³Í°ò«°¤¤,72.20,0,1000 
2793,9227³Í°ò«°¤¤,72.30,0,1000,,2794,9227³Í°ò«°¤¤,73.00,0,1000 
2795,9229³Í°ò¤¤¤s,69.90,10000,0,,2796,9229³Í°ò¤¤¤s,70.00,10000,0 
2797,9229³Í°ò¤¤¤s,70.90,1000,0,,2798,9229³Í°ò¤¤¤s,71.00,2000,0 
2799,9229³Í°ò¤¤¤s,71.60,0,2000,,2800,9229³Í°ò¤¤¤s,72.10,0,1000 
2801,922H³Í°ò´_¿³,69.50,1000,0,,2802,922H³Í°ò´_¿³,70.00,2000,4000 
2803,922H³Í°ò´_¿³,70.20,1000,0,,2804,922H³Í°ò´_¿³,70.30,1000,0 
2805,922H³Í°ò´_¿³,70.40,1000,0,,2806,922H³Í°ò´_¿³,71.50,30000,0 
2807,922H³Í°ò´_¿³,71.70,1000,0,,2808,922H³Í°ò´_¿³,71.80,1000,0 
2809,922H³Í°ò´_¿³,72.00,0,15000,,2810,922H³Í°ò´_¿³,72.10,5000,34000 
2811,922H³Í°ò´_¿³,72.20,1000,17000,,2812,922H³Í°ò´_¿³,72.30,5000,0 
2813,922H³Í°ò´_¿³,72.40,1000,0,,2814,9231³Í°ò­ûªL,70.00,0,1000 
2815,9233³Í°òªø©°,70.20,1000,0,,2816,9233³Í°òªø©°,70.30,0,25000 
2817,9233³Í°òªø©°,70.50,0,14000,,2818,9233³Í°òªø©°,70.90,0,1000 
2819,9233³Í°òªø©°,71.00,0,16000,,2820,9233³Í°òªø©°,71.10,0,5000 
2821,9233³Í°òªø©°,71.60,1000,0,,2822,9233³Í°òªø©°,72.00,10000,1000 
2823,9233³Í°òªø©°,72.20,4000,0,,2824,9233³Í°òªø©°,72.30,6000,0 
2825,9233³Í°òªø©°,72.40,1000,0,,2826,9233³Í°òªø©°,72.50,4000,0 
2827,9233³Í°òªø©°,72.70,1000,0,,2828,9233³Í°òªø©°,72.80,2000,0 
2829,9233³Í°òªø©°,72.90,1000,0,,2830,9233³Í°òªø©°,73.00,6000,0 
2831,9233³Í°òªø©°,73.20,1000,0,,2832,9234³Í°ò¦Ë¥_,69.50,1000,0 
2833,9234³Í°ò¦Ë¥_,70.20,1000,0,,2834,9234³Í°ò¦Ë¥_,70.80,0,1000 
2835,9234³Í°ò¦Ë¥_,71.10,1000,10000,,2836,9234³Í°ò¦Ë¥_,71.40,0,1000 
2837,9234³Í°ò¦Ë¥_,72.00,1000,0,,2838,9234³Í°ò¦Ë¥_,72.20,0,1000 
2839,9234³Í°ò¦Ë¥_,72.30,0,1000,,2840,9234³Í°ò¦Ë¥_,72.40,0,3000 
2841,9234³Í°ò¦Ë¥_,72.50,10000,0,,2842,9234³Í°ò¦Ë¥_,73.10,0,2000 
2843,9235³Í°ò¥ÃµØ,70.70,0,1000,,2844,9235³Í°ò¥ÃµØ,72.00,0,1000 
2845,9235³Í°ò¥ÃµØ,72.40,1000,0,,2846,9235³Í°ò¥ÃµØ,72.90,1000,0 
2847,9236³Í°òªê§À,69.50,0,1000,,2848,9236³Í°òªê§À,69.90,0,2000 
2849,9236³Í°òªê§À,70.20,0,1000,,2850,9236³Í°òªê§À,70.60,1000,0 
2851,9236³Í°òªê§À,71.00,3000,0,,2852,9236³Í°òªê§À,71.40,1000,0 
2853,9236³Í°òªê§À,71.70,2000,0,,2854,9236³Í°òªê§À,71.90,0,1000 
2855,9236³Í°òªê§À,72.10,0,1000,,2856,9236³Í°òªê§À,72.30,1000,0 
2857,9237³Í°ò´°¥_,69.50,0,1000,,2858,9237³Í°ò´°¥_,71.30,11000,0 
2859,9237³Í°ò´°¥_,72.80,0,1000,,2860,9237³Í°ò´°¥_,73.00,0,10000 
2861,9239³Í°ò¥«¬F,69.80,1000,0,,2862,9239³Í°ò¥«¬F,70.00,0,1000 
2863,9239³Í°ò¥«¬F,70.20,1000,0,,2864,9239³Í°ò¥«¬F,70.30,0,6000 
2865,9239³Í°ò¥«¬F,70.50,4000,0,,2866,9239³Í°ò¥«¬F,71.60,2000,0 
2867,9239³Í°ò¥«¬F,71.80,0,1000,,2868,9239³Í°ò¥«¬F,71.90,2000,0 
2869,9239³Í°ò¥«¬F,72.20,1000,0,,2870,9252³Í°ò¹Å¸q,69.50,1000,0 
2871,9252³Í°ò¹Å¸q,69.80,1000,0,,2872,9252³Í°ò¹Å¸q,70.20,0,1000 
2873,9252³Í°ò¹Å¸q,71.50,0,1000,,2874,9254³Í°ò¬ì¶é,71.70,1000,0 
2875,9254³Í°ò¬ì¶é,72.40,0,1000,,2876,9255³Í°ò©M¥­,70.00,0,8000 
2877,9255³Í°ò©M¥­,72.00,1000,3000,,2878,9255³Í°ò©M¥­,72.20,0,2000 
2879,9255³Í°ò©M¥­,72.40,2000,0,,2880,9255³Í°ò©M¥­,72.70,5000,0 
2881,9255³Í°ò©M¥­,72.90,2000,0,,2882,9255³Í°ò©M¥­,73.00,8000,0 
2883,9256³Í°ò«n®r,70.30,5000,0,,2884,9256³Í°ò«n®r,70.40,0,1000 
2885,9256³Í°ò«n®r,71.70,1000,0,,2886,9256³Í°ò«n®r,72.10,0,1000 
2887,9256³Í°ò«n®r,72.20,0,5000,,2888,9257³Í°òªL¤f,69.70,0,12000 
2889,9257³Í°òªL¤f,69.80,0,9000,,2890,9257³Í°òªL¤f,69.90,0,4000 
2891,9257³Í°òªL¤f,71.60,0,2000,,2892,9257³Í°òªL¤f,71.80,5000,0 
2893,9257³Í°òªL¤f,71.90,1000,0,,2894,9257³Í°òªL¤f,72.10,15000,0 
2895,9257³Í°òªL¤f,72.80,5000,0,,2896,9258³Í°òÃ¹ªF,69.50,0,2000 
2897,9258³Í°òÃ¹ªF,70.40,1000,0,,2898,9258³Í°òÃ¹ªF,70.50,1000,0 
2899,9258³Í°òÃ¹ªF,71.40,1000,0,,2900,9258³Í°òÃ¹ªF,71.60,0,3000 
