¨é°Ó¶R½æªÑ²¼¦¨¥æ»ù¶q¸ê°T
ªÑ²¼¥N½X,="2387"
§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ,,§Ç¸¹,¨é°Ó,»ù®æ,¶R¶iªÑ¼Æ,½æ¥XªÑ¼Æ
315,116I¤é²±«n¨Ê,70.50,1000,0,,316,116I¤é²±«n¨Ê,71.00,1000,0 
317,116I¤é²±«n¨Ê,71.30,1000,0,,318,116I¤é²±«n¨Ê,71.40,1000,0 
319,116I¤é²±«n¨Ê,71.60,2000,0,,320,116I¤é²±«n¨Ê,71.70,2000,0 
321,116I¤é²±«n¨Ê,71.80,1000,0,,322,116I¤é²±«n¨Ê,71.90,1000,0 
323,116I¤é²±«n¨Ê,72.00,1000,0,,324,116I¤é²±«n¨Ê,72.10,1000,0 
325,116I¤é²±«n¨Ê,72.20,1000,0,,326,116I¤é²±«n¨Ê,72.80,1000,0 
327,116I¤é²±«n¨Ê,72.90,1000,0,,328,116I¤é²±«n¨Ê,73.00,1000,0 
329,116j¤é²±ÀY¥÷,69.50,0,20000,,330,116j¤é²±ÀY¥÷,70.20,0,1000 
331,116j¤é²±ÀY¥÷,71.30,10000,0,,332,116j¤é²±ÀY¥÷,71.50,10000,0 
333,116j¤é²±ÀY¥÷,72.50,0,1000,,334,116j¤é²±ÀY¥÷,72.60,5000,0 
335,116j¤é²±ÀY¥÷,72.80,1000,0,,336,116J¤é²±¤¤¤s,69.70,5000,0 
337,116J¤é²±¤¤¤s,70.80,1000,0,,338,116J¤é²±¤¤¤s,71.00,1000,0 
339,116J¤é²±¤¤¤s,71.60,1000,0,,340,116J¤é²±¤¤¤s,71.70,1000,0 
341,116J¤é²±¤¤¤s,72.20,0,1000,,342,116J¤é²±¤¤¤s,72.40,1000,0 
343,116k¤é²±¥_°ª,71.10,1000,0,,344,116k¤é²±¥_°ª,72.10,1000,1000 
345,116k¤é²±¥_°ª,72.30,0,1000,,346,116k¤é²±¥_°ª,72.50,1000,0 
347,116K¤é²±ªá½¬,69.50,0,4000,,348,116K¤é²±ªá½¬,71.10,0,1000 
349,116K¤é²±ªá½¬,72.10,4000,0,,350,116K¤é²±ªá½¬,72.80,0,2000 
351,116K¤é²±ªá½¬,73.00,1000,0,,352,116L¤é²±¤j¼[,70.70,5000,0 
353,116L¤é²±¤j¼[,71.40,6000,0,,354,116L¤é²±¤j¼[,71.50,4000,0 
355,116L¤é²±¤j¼[,72.50,0,2000,,356,116L¤é²±¤j¼[,72.90,0,2000 
357,116m¤é²±©M¬ü,69.80,0,1000,,358,116m¤é²±©M¬ü,70.20,0,1000 
359,116m¤é²±©M¬ü,70.60,0,1000,,360,116m¤é²±©M¬ü,71.20,1000,0 
361,116m¤é²±©M¬ü,71.70,1000,0,,362,116m¤é²±©M¬ü,72.10,1000,0 
363,116m¤é²±©M¬ü,72.20,1000,0,,364,116N¤é²±¥Ã±d,71.50,0,1000 
365,116N¤é²±¥Ã±d,71.60,1000,1000,,366,116N¤é²±¥Ã±d,72.00,1000,0 
367,116N¤é²±¥Ã±d,72.10,2000,1000,,368,116N¤é²±¥Ã±d,72.20,2000,0 
369,116N¤é²±¥Ã±d,72.40,1000,1000,,370,116P¤é²±«H¸q,71.50,0,5000 
371,116P¤é²±«H¸q,71.60,1000,0,,372,116P¤é²±«H¸q,71.80,2000,1000 
373,116P¤é²±«H¸q,72.00,0,3000,,374,116P¤é²±«H¸q,73.10,0,1000 
375,116Q¤é²±¤GªL,69.50,2000,0,,376,116Q¤é²±¤GªL,70.40,2000,0 
377,116Q¤é²±¤GªL,70.50,4000,0,,378,116Q¤é²±¤GªL,71.00,0,4000 
379,116Q¤é²±¤GªL,71.50,1000,0,,380,116Q¤é²±¤GªL,71.60,2000,6000 
381,116Q¤é²±¤GªL,71.70,4000,0,,382,116Q¤é²±¤GªL,72.00,0,6000 
383,116Q¤é²±¤GªL,72.10,0,1000,,384,116Q¤é²±¤GªL,72.20,0,1000 
385,116Q¤é²±¤GªL,72.30,1000,6000,,386,116Q¤é²±¤GªL,72.40,0,1000 
387,116Q¤é²±¤GªL,72.70,0,1000,,388,116Q¤é²±¤GªL,72.80,0,9000 
389,116Q¤é²±¤GªL,72.90,0,2000,,390,116Q¤é²±¤GªL,73.00,0,1000 
391,116Q¤é²±¤GªL,73.10,0,2000,,392,116s¤é²±¤g«°,69.90,0,1000 
393,116s¤é²±¤g«°,70.00,0,1000,,394,116s¤é²±¤g«°,70.30,0,5000 
395,116s¤é²±¤g«°,71.80,0,1000,,396,116s¤é²±¤g«°,72.20,2000,0 
397,116s¤é²±¤g«°,72.50,5000,0,,398,116S¤é²±·s²ø,69.50,1000,0 
399,116S¤é²±·s²ø,71.90,0,10000,,400,116U¤é²±®ç¶é,69.80,1000,0 
401,116V¤é²±¤æ¤»,70.80,2000,0,,402,116V¤é²±¤æ¤»,71.10,1000,0 
403,116V¤é²±¤æ¤»,71.50,0,12000,,404,116V¤é²±¤æ¤»,72.70,12000,0 
405,116W¤é²±»ñ¤s,71.40,2000,0,,406,116W¤é²±»ñ¤s,71.80,0,1000 
407,116W¤é²±»ñ¤s,72.00,0,1000,,408,116W¤é²±»ñ¤s,72.10,2000,0 
409,116W¤é²±»ñ¤s,72.20,0,1000,,410,116W¤é²±»ñ¤s,72.50,0,1000 
411,116W¤é²±»ñ¤s,72.70,0,2000,,412,116X¤é²±©yÄõ,70.00,0,1000 
413,116X¤é²±©yÄõ,71.60,1000,0,,414,116X¤é²±©yÄõ,72.10,0,1000 
415,116Z¤é²±¤¤©M,71.90,0,1000,,416,116Z¤é²±¤¤©M,72.00,0,10000 
417,1262§»»·®ç¶é,70.10,0,1000,,418,1262§»»·®ç¶é,70.40,4000,0 
419,1262§»»·®ç¶é,70.80,1000,0,,420,1262§»»·®ç¶é,71.60,0,1000 
421,1262§»»·®ç¶é,72.20,0,4000,,422,1262§»»·®ç¶é,72.30,0,1000 
423,126D§»»·¥x«n,69.70,1000,0,,424,126D§»»·¥x«n,71.20,0,1000 
425,126D§»»·¥x«n,72.20,1000,0,,426,126L§»»·¥x¤¤,69.50,1000,0 
427,126L§»»·¥x¤¤,71.90,0,1000,,428,126L§»»·¥x¤¤,72.20,0,2000 
429,126L§»»·¥x¤¤,72.50,0,2000,,430,126Q§»»·°ª¶¯,71.80,0,5000 
431,126Q§»»·°ª¶¯,72.20,0,1000,,432,126Q§»»·°ª¶¯,72.40,0,1000 
433,126Q§»»·°ª¶¯,72.60,0,1000,,434,126U§»»·À]«e,69.50,0,4000 
435,126U§»»·À]«e,70.20,5000,0,,436,126U§»»·À]«e,70.40,5000,0 
437,126U§»»·À]«e,70.60,5000,0,,438,126U§»»·À]«e,70.70,5000,0 
439,126U§»»·À]«e,71.80,5000,0,,440,126U§»»·À]«e,72.10,1000,5000 
441,126U§»»·À]«e,72.40,0,5000,,442,126U§»»·À]«e,72.60,0,5000 
443,126U§»»·À]«e,73.10,0,5000,,444,1440¬üªL,69.50,57000,0 
445,1440¬üªL,70.50,2000,0,,446,1440¬üªL,71.30,0,4000 
447,1440¬üªL,71.40,0,7000,,448,1440¬üªL,71.50,0,17000 
449,1440¬üªL,71.60,6000,115000,,450,1440¬üªL,71.70,0,8000 
451,1440¬üªL,71.80,0,18000,,452,1440¬üªL,72.00,0,31000 
453,1440¬üªL,72.10,5000,6000,,454,1440¬üªL,72.20,0,10000 
455,1440¬üªL,72.50,13000,0,,456,1440¬üªL,72.70,0,12000 
457,1440¬üªL,72.80,0,31000,,458,1440¬üªL,72.90,0,22000 
459,1440¬üªL,73.00,10000,1000,,460,1440¬üªL,73.10,0,2000 
461,1470¥xÆW¼¯®Ú,69.50,12000,0,,462,1470¥xÆW¼¯®Ú,70.00,1000,0 
463,1470¥xÆW¼¯®Ú,70.20,4000,0,,464,1470¥xÆW¼¯®Ú,70.30,2000,0 
465,1470¥xÆW¼¯®Ú,70.40,2000,0,,466,1470¥xÆW¼¯®Ú,70.60,2000,0 
467,1470¥xÆW¼¯®Ú,70.70,1000,0,,468,1470¥xÆW¼¯®Ú,70.80,2000,0 
469,1470¥xÆW¼¯®Ú,71.00,2000,0,,470,1470¥xÆW¼¯®Ú,71.10,2000,0 
471,1470¥xÆW¼¯®Ú,71.20,3000,0,,472,1470¥xÆW¼¯®Ú,71.30,2000,0 
473,1470¥xÆW¼¯®Ú,71.40,3000,0,,474,1470¥xÆW¼¯®Ú,71.50,2000,0 
475,1470¥xÆW¼¯®Ú,71.60,3000,0,,476,1470¥xÆW¼¯®Ú,71.70,12000,0 
477,1470¥xÆW¼¯®Ú,71.80,2000,0,,478,1470¥xÆW¼¯®Ú,71.90,3000,0 
479,1470¥xÆW¼¯®Ú,72.00,6000,0,,480,1470¥xÆW¼¯®Ú,72.10,4000,0 
481,1470¥xÆW¼¯®Ú,72.20,3000,0,,482,1470¥xÆW¼¯®Ú,72.30,3000,0 
483,1470¥xÆW¼¯®Ú,72.40,2000,0,,484,1480¬ü°Ó°ª²±,69.50,2000,1000 
485,1480¬ü°Ó°ª²±,70.00,0,1000,,486,1480¬ü°Ó°ª²±,72.00,0,4000 
487,1520·ç¤h«H¶U,69.50,51000,0,,488,1520·ç¤h«H¶U,70.40,2000,0 
489,1520·ç¤h«H¶U,71.20,0,5000,,490,1520·ç¤h«H¶U,71.50,0,11000 
491,1520·ç¤h«H¶U,71.60,0,17000,,492,1520·ç¤h«H¶U,71.70,0,11000 
493,1520·ç¤h«H¶U,72.00,0,1000,,494,1520·ç¤h«H¶U,72.10,1000,21000 
495,1520·ç¤h«H¶U,72.20,0,38000,,496,1520·ç¤h«H¶U,72.30,0,8000 
497,1520·ç¤h«H¶U,72.40,0,8000,,498,1520·ç¤h«H¶U,72.50,0,4000 
499,1560´ä°Ó³¥§ø,69.50,9000,0,,500,1560´ä°Ó³¥§ø,69.70,1000,0 
